word,source,word_length
elbow,Oxford5000,5
electoral,Oxford5000,9
electronics,Oxford5000,11
elegant,Oxford5000,7
elementary,Oxford5000,10
elevate,Oxford5000,7
eligible,Oxford5000,8
eliminate,Oxford5000,9
elite,Oxford5000,5
embark,Oxford5000,6
embarrassment,Oxford5000,13
embassy,Oxford5000,7
embed,Oxford5000,5
embody,Oxford5000,6
embrace,Oxford5000,7
emergence,Oxford5000,9
emission,Oxford5000,8
emotionally,Oxford5000,11
empire,Oxford5000,6
empirical,Oxford5000,9
empower,Oxford5000,7
enact,Oxford5000,5
encompass,Oxford5000,9
encouragement,Oxford5000,13
encouraging,Oxford5000,11
endeavour,Oxford5000,9
endless,Oxford5000,7
endorse,Oxford5000,7
endorsement,Oxford5000,11
endure,Oxford5000,6
enforce,Oxford5000,7
enforcement,Oxford5000,11
engagement,Oxford5000,10
engaging,Oxford5000,8
enjoyable,Oxford5000,9
enquire,Oxford5000,7
enrich,Oxford5000,6
enrol,Oxford5000,5
ensue,Oxford5000,5
enterprise,Oxford5000,10
entertaining,Oxford5000,12
enthusiast,Oxford5000,10
entitle,Oxford5000,7
entity,Oxford5000,6
entrepreneur,Oxford5000,12
envelope,Oxford5000,8
epidemic,Oxford5000,8
equality,Oxford5000,8
equation,Oxford5000,8
equip,Oxford5000,5
equivalent,Oxford5000,10
era,Oxford5000,3
erect,Oxford5000,5
erupt,Oxford5000,5
escalate,Oxford5000,8
essence,Oxford5000,7
essentially,Oxford5000,11
establishment,Oxford5000,13
eternal,Oxford5000,7
ethic,Oxford5000,5
ethnic,Oxford5000,6
evacuate,Oxford5000,8
evaluation,Oxford5000,10
evident,Oxford5000,7
evoke,Oxford5000,5
evolution,Oxford5000,9
evolutionary,Oxford5000,12
evolve,Oxford5000,6
exaggerate,Oxford5000,10
exceed,Oxford5000,6
excellence,Oxford5000,10
exception,Oxford5000,9
exceptional,Oxford5000,11
excess,Oxford5000,6
excessive,Oxford5000,9
exclude,Oxford5000,7
exclusion,Oxford5000,9
exclusive,Oxford5000,9
exclusively,Oxford5000,11
execute,Oxford5000,7
execution,Oxford5000,9
exert,Oxford5000,5
exhibit,Oxford5000,7
exile,Oxford5000,5
exit,Oxford5000,4
exotic,Oxford5000,6
expansion,Oxford5000,9
expenditure,Oxford5000,11
experimental,Oxford5000,12
expertise,Oxford5000,9
expire,Oxford5000,6
explicit,Oxford5000,8
explicitly,Oxford5000,10
exploit,Oxford5000,7
exploitation,Oxford5000,12
explosive,Oxford5000,9
exposure,Oxford5000,8
extension,Oxford5000,9
extensive,Oxford5000,9
extensively,Oxford5000,11
extract,Oxford5000,7
extremist,Oxford5000,9
fabric,Oxford5000,6
fabulous,Oxford5000,8
facilitate,Oxford5000,10
faction,Oxford5000,7
faculty,Oxford5000,7
fade,Oxford5000,4
failed,Oxford5000,6
fairness,Oxford5000,8
fake,Oxford5000,4
fame,Oxford5000,4
fantasy,Oxford5000,7
fare,Oxford5000,4
fatal,Oxford5000,5
fate,Oxford5000,4
favourable,Oxford5000,10
feat,Oxford5000,4
federal,Oxford5000,7
feeding,Oxford5000,7
feminist,Oxford5000,8
fever,Oxford5000,5
fibre,Oxford5000,5
fierce,Oxford5000,6
film-maker,Oxford5000,10
filter,Oxford5000,6
fine,Oxford5000,4
firearm,Oxford5000,7
firefighter,Oxford5000,11
firework,Oxford5000,8
firm,Oxford5000,4
firmly,Oxford5000,6
fit,Oxford5000,3
fixture,Oxford5000,7
flavour,Oxford5000,7
flaw,Oxford5000,4
flawed,Oxford5000,6
flee,Oxford5000,4
fleet,Oxford5000,5
flesh,Oxford5000,5
flexibility,Oxford5000,11
flourish,Oxford5000,8
fluid,Oxford5000,5
fond,Oxford5000,4
fool,Oxford5000,4
footage,Oxford5000,7
forbid,Oxford5000,6
forecast,Oxford5000,8
foreigner,Oxford5000,9
forge,Oxford5000,5
format,Oxford5000,6
formation,Oxford5000,9
formerly,Oxford5000,8
formula,Oxford5000,7
formulate,Oxford5000,9
forth,Oxford5000,5
forthcoming,Oxford5000,11
fortunate,Oxford5000,9
forum,Oxford5000,5
fossil,Oxford5000,6
foster,Oxford5000,6
foundation,Oxford5000,10
founder,Oxford5000,7
fraction,Oxford5000,8
fragile,Oxford5000,7
fragment,Oxford5000,8
framework,Oxford5000,9
franchise,Oxford5000,9
frankly,Oxford5000,7
fraud,Oxford5000,5
freely,Oxford5000,6
frequent,Oxford5000,8
frustrated,Oxford5000,10
frustrating,Oxford5000,11
frustration,Oxford5000,11
fulfil,Oxford5000,6
full-time,Oxford5000,9
functional,Oxford5000,10
fundamentally,Oxford5000,13
fundraising,Oxford5000,11
funeral,Oxford5000,7
furious,Oxford5000,7
gallon,Oxford5000,6
gambling,Oxford5000,8
gaming,Oxford5000,6
gathering,Oxford5000,9
gay,Oxford5000,3
gaze,Oxford5000,4
gear,Oxford5000,4
gender,Oxford5000,6
gene,Oxford5000,4
generic,Oxford5000,7
genetic,Oxford5000,7
genius,Oxford5000,6
genocide,Oxford5000,8
genuine,Oxford5000,7
genuinely,Oxford5000,9
gesture,Oxford5000,7
gig,Oxford5000,3
glance,Oxford5000,6
glimpse,Oxford5000,7
globalization,Oxford5000,13
globe,Oxford5000,5
glorious,Oxford5000,8
glory,Oxford5000,5
golden,Oxford5000,6
goodness,Oxford5000,8
gorgeous,Oxford5000,8
governance,Oxford5000,10
governor,Oxford5000,8
grace,Oxford5000,5
graphic,Oxford5000,7
graphics,Oxford5000,8
grasp,Oxford5000,5
grave,Oxford5000,5
gravity,Oxford5000,7
greatly,Oxford5000,7
greenhouse,Oxford5000,10
grid,Oxford5000,4
grief,Oxford5000,5
grin,Oxford5000,4
grind,Oxford5000,5
grip,Oxford5000,4
grocery,Oxford5000,7
guerrilla,Oxford5000,9
guidance,Oxford5000,8
guideline,Oxford5000,9
guilt,Oxford5000,5
gut,Oxford5000,3
habitat,Oxford5000,7
hail,Oxford5000,4
halfway,Oxford5000,7
halt,Oxford5000,4
handful,Oxford5000,7
handling,Oxford5000,8
handy,Oxford5000,5
harassment,Oxford5000,10
harbour,Oxford5000,7
hardware,Oxford5000,8
harmony,Oxford5000,7
harsh,Oxford5000,5
harvest,Oxford5000,7
hatred,Oxford5000,6
haunt,Oxford5000,5
hazard,Oxford5000,6
headquarters,Oxford5000,12
heal,Oxford5000,4
healthcare,Oxford5000,10
heighten,Oxford5000,8
helmet,Oxford5000,6
hence,Oxford5000,5
herb,Oxford5000,4
heritage,Oxford5000,8
hidden,Oxford5000,6
hierarchy,Oxford5000,9
high-profile,Oxford5000,12
highway,Oxford5000,7
hilarious,Oxford5000,9
hint,Oxford5000,4
hip,Oxford5000,3
historian,Oxford5000,9
homeland,Oxford5000,8
homeless,Oxford5000,8
honesty,Oxford5000,7
hook,Oxford5000,4
hopeful,Oxford5000,7
hopefully,Oxford5000,9
horizon,Oxford5000,7
horn,Oxford5000,4
hostage,Oxford5000,7
hostile,Oxford5000,7
hostility,Oxford5000,9
humanitarian,Oxford5000,12
humanity,Oxford5000,8
humble,Oxford5000,6
hunger,Oxford5000,6
hydrogen,Oxford5000,8
hypothesis,Oxford5000,10
icon,Oxford5000,4
identical,Oxford5000,9
identification,Oxford5000,14
ideological,Oxford5000,11
ideology,Oxford5000,8
idiot,Oxford5000,5
ignorance,Oxford5000,9
illusion,Oxford5000,8
imagery,Oxford5000,7
immense,Oxford5000,7
immigration,Oxford5000,11
imminent,Oxford5000,8
immune,Oxford5000,6
implement,Oxford5000,9
implementation,Oxford5000,14
implication,Oxford5000,11
imprison,Oxford5000,8
imprisonment,Oxford5000,12
inability,Oxford5000,9
inadequate,Oxford5000,10
inappropriate,Oxford5000,13
incentive,Oxford5000,9
incidence,Oxford5000,9
inclined,Oxford5000,8
inclusion,Oxford5000,9
incorporate,Oxford5000,11
incorrect,Oxford5000,9
incur,Oxford5000,5
independence,Oxford5000,12
index,Oxford5000,5
indication,Oxford5000,10
indicator,Oxford5000,9
indictment,Oxford5000,10
indigenous,Oxford5000,10
induce,Oxford5000,6
indulge,Oxford5000,7
inequality,Oxford5000,10
inevitable,Oxford5000,10
infamous,Oxford5000,8
infant,Oxford5000,6
infect,Oxford5000,6
infer,Oxford5000,5
inflation,Oxford5000,9
inflict,Oxford5000,7
influential,Oxford5000,11
info,Oxford5000,4
infrastructure,Oxford5000,14
inhabitant,Oxford5000,10
inherent,Oxford5000,8
inherit,Oxford5000,7
inhibit,Oxford5000,7
initiate,Oxford5000,8
inject,Oxford5000,6
injection,Oxford5000,9
injustice,Oxford5000,9
ink,Oxford5000,3
inmate,Oxford5000,6
innovation,Oxford5000,10
innovative,Oxford5000,10
input,Oxford5000,5
insert,Oxford5000,6
insertion,Oxford5000,9
insider,Oxford5000,7
inspect,Oxford5000,7
inspection,Oxford5000,10
inspector,Oxford5000,9
inspiration,Oxford5000,11
installation,Oxford5000,12
instant,Oxford5000,7
instantly,Oxford5000,9
instinct,Oxford5000,8
institutional,Oxford5000,13
instruct,Oxford5000,8
instrumental,Oxford5000,12
insufficient,Oxford5000,12
insult,Oxford5000,6
intact,Oxford5000,6
intake,Oxford5000,6
integral,Oxford5000,8
integrate,Oxford5000,9
integrated,Oxford5000,10
integration,Oxford5000,11
integrity,Oxford5000,9
intellectual,Oxford5000,12
intensify,Oxford5000,9
intensity,Oxford5000,9
intensive,Oxford5000,9
intent,Oxford5000,6
interact,Oxford5000,8
interaction,Oxford5000,11
interactive,Oxford5000,11
interface,Oxford5000,9
interfere,Oxford5000,9
interference,Oxford5000,12
interim,Oxford5000,7
interior,Oxford5000,8
intermediate,Oxford5000,12
interpretation,Oxford5000,14
interval,Oxford5000,8
intervene,Oxford5000,9
intervention,Oxford5000,12
intimate,Oxford5000,8
intriguing,Oxford5000,10
invade,Oxford5000,6
invasion,Oxford5000,8
investigator,Oxford5000,12
investor,Oxford5000,8
invisible,Oxford5000,9
invoke,Oxford5000,6
involvement,Oxford5000,11
ironic,Oxford5000,6
ironically,Oxford5000,10
irony,Oxford5000,5
irrelevant,Oxford5000,10
isolate,Oxford5000,7
isolated,Oxford5000,8
isolation,Oxford5000,9
jail,Oxford5000,4
jet,Oxford5000,3
joint,Oxford5000,5
journalism,Oxford5000,10
judicial,Oxford5000,8
junction,Oxford5000,8
jurisdiction,Oxford5000,12
jury,Oxford5000,4
just,Oxford5000,4
justification,Oxford5000,13
kidnap,Oxford5000,6
kidney,Oxford5000,6
kingdom,Oxford5000,7
kit,Oxford5000,3
lad,Oxford5000,3
ladder,Oxford5000,6
landing,Oxford5000,7
landlord,Oxford5000,8
landmark,Oxford5000,8
lane,Oxford5000,4
lap,Oxford5000,3
large-scale,Oxford5000,11
laser,Oxford5000,5
lately,Oxford5000,6
latter,Oxford5000,6
lawn,Oxford5000,4
lawsuit,Oxford5000,7
layout,Oxford5000,6
leaflet,Oxford5000,7
leak,Oxford5000,4
leap,Oxford5000,4
legacy,Oxford5000,6
legend,Oxford5000,6
legendary,Oxford5000,9
legislation,Oxford5000,11
legislative,Oxford5000,11
legislature,Oxford5000,11
legitimate,Oxford5000,10
lengthy,Oxford5000,7
lens,Oxford5000,4
lesbian,Oxford5000,7
lesser,Oxford5000,6
lethal,Oxford5000,6
liable,Oxford5000,6
liberal,Oxford5000,7
liberation,Oxford5000,10
liberty,Oxford5000,7
license,Oxford5000,7
lifelong,Oxford5000,8
lifetime,Oxford5000,8
lighting,Oxford5000,8
likelihood,Oxford5000,10
likewise,Oxford5000,8
limb,Oxford5000,4
limitation,Oxford5000,10
line-up,Oxford5000,7
linear,Oxford5000,6
linger,Oxford5000,6
listing,Oxford5000,7
literacy,Oxford5000,8
literally,Oxford5000,9
literary,Oxford5000,8
litre,Oxford5000,5
litter,Oxford5000,6
liver,Oxford5000,5
lobby,Oxford5000,5
log,Oxford5000,3
logic,Oxford5000,5
logo,Oxford5000,4
long-standing,Oxford5000,13
long-time,Oxford5000,9
loom,Oxford5000,4
loop,Oxford5000,4
