word,source,word_length,translation
blank,Oxford3000,5,kosong
organizer,Oxford3000,9,penyelenggara
historic,Oxford3000,8,bersejarah
enemy,Oxford3000,5,musuh
without,Oxford3000,7,tanpa
proud,Oxford3000,5,bangga
businessman,Oxford3000,11,pengusaha
bridge,Oxford3000,6,menjembatani
branch,Oxford3000,6,cabang
claim,Oxford3000,5,mengeklaim
consider,Oxford3000,8,mempertimbangkan
retain,Oxford3000,6,mempertahankan
printing,Oxford3000,8,pencetakan
dig,Oxford3000,3,menggali
gun,Oxford3000,3,pistol
menu,Oxford3000,4,menu
central,Oxford3000,7,pusat
inspire,Oxford3000,7,mengilhami
dry,Oxford3000,3,kering
never,Oxford3000,5,tidak pernah
salt,Oxford3000,4,garam
sequence,Oxford3000,8,urutan
confirm,Oxford3000,7,mengonfirmasi
average,Oxford3000,7,rata-rata
camera,Oxford3000,6,kamera
pub,Oxford3000,3,pub
concept,Oxford3000,7,konsep
attraction,Oxford3000,10,daya tarik
october,Oxford3000,7,Oktober
upwards,Oxford3000,7,ke atas
kill,Oxford3000,4,membunuh
matching,Oxford3000,8,cocok
generation,Oxford3000,10,generasi
advice,Oxford3000,6,nasihat
theirs,Oxford3000,6,milik mereka
text,Oxford3000,4,teks
resort,Oxford3000,6,resor
deliberately,Oxford3000,12,dengan sengaja
instructor,Oxford3000,10,pengajar
shine,Oxford3000,5,bersinar
country,Oxford3000,7,negara
folk,Oxford3000,4,rakyat
present,Oxford3000,7,hadiah
popularity,Oxford3000,10,kepopuleran
repeated,Oxford3000,8,ulang
complicated,Oxford3000,11,rumit
grandfather,Oxford3000,11,kakek
centre,Oxford3000,6,tengah
specific,Oxford3000,8,spesifik
league,Oxford3000,6,liga
journalist,Oxford3000,10,wartawan
repair,Oxford3000,6,memperbaiki
necessary,Oxford3000,9,diperlukan
married,Oxford3000,7,telah menikah
countryside,Oxford3000,11,pedesaan
experiment,Oxford3000,10,percobaan
sticky,Oxford3000,6,lengket
fix,Oxford3000,3,memperbaiki
three,Oxford3000,5,tiga
she,Oxford3000,3,dia
aggressive,Oxford3000,10,agresif
speech,Oxford3000,6,pidato
shame,Oxford3000,5,malu
audience,Oxford3000,8,hadirin
modify,Oxford3000,6,memodifikasi
hear,Oxford3000,4,mendengar
pencil,Oxford3000,6,pensil
specifically,Oxford3000,12,secara khusus
diet,Oxford3000,4,diet
delight,Oxford3000,7,sukacita
revise,Oxford3000,6,merevisi
executive,Oxford3000,9,eksekutif
certain,Oxford3000,7,yakin
demonstrate,Oxford3000,11,mendemonstrasikan
twelve,Oxford3000,6,dua belas
anybody,Oxford3000,7,siapa saja
live,Oxford3000,4,hidup
difficulty,Oxford3000,10,kesulitan
improve,Oxford3000,7,memperbaiki
peace,Oxford3000,5,perdamaian
like,Oxford3000,4,menyukai
uniform,Oxford3000,7,seragam
farming,Oxford3000,7,pertanian
instance,Oxford3000,8,contoh
short,Oxford3000,5,pendek
supermarket,Oxford3000,11,supermarket
learning,Oxford3000,8,sedang belajar
mark,Oxford3000,4,tanda
silly,Oxford3000,5,konyol
story,Oxford3000,5,cerita
farmer,Oxford3000,6,petani
instead,Oxford3000,7,alih-alih
commit,Oxford3000,6,melakukan
positive,Oxford3000,8,positif
them,Oxford3000,4,mereka
shall,Oxford3000,5,sebaiknya
frequently,Oxford3000,10,sering
rain,Oxford3000,4,hujan
found,Oxford3000,5,ditemukan
inch,Oxford3000,4,inci
free,Oxford3000,4,bebas
album,Oxford3000,5,album
actually,Oxford3000,8,Sebenarnya
bed,Oxford3000,3,tempat tidur
injured,Oxford3000,7,terluka
path,Oxford3000,4,jalur
here,Oxford3000,4,Di Sini
imagination,Oxford3000,11,imajinasi
ride,Oxford3000,4,mengendarai
why,Oxford3000,3,Mengapa
investigation,Oxford3000,13,penyelidikan
pray,Oxford3000,4,berdoa
whole,Oxford3000,5,utuh
alone,Oxford3000,5,sendiri
investment,Oxford3000,10,investasi
old,Oxford3000,3,tua
school,Oxford3000,6,sekolah
victory,Oxford3000,7,kemenangan
valley,Oxford3000,6,lembah
luxury,Oxford3000,6,kemewahan
help,Oxford3000,4,membantu
tape,Oxford3000,4,tape
wedding,Oxford3000,7,pernikahan
dog,Oxford3000,3,anjing
honest,Oxford3000,6,jujur
impress,Oxford3000,7,membuat terkesan
appointment,Oxford3000,11,janji temu
throughout,Oxford3000,10,selama
forward,Oxford3000,7,maju
glad,Oxford3000,4,senang
july,Oxford3000,4,Juli
paint,Oxford3000,5,cat
money,Oxford3000,5,uang
assess,Oxford3000,6,menilai
nose,Oxford3000,4,hidung
toe,Oxford3000,3,kaki
method,Oxford3000,6,metode
concert,Oxford3000,7,konser
importance,Oxford3000,10,pentingnya
while,Oxford3000,5,ketika
relate,Oxford3000,6,mengaitkan
solar,Oxford3000,5,tenaga surya
unfair,Oxford3000,6,tidak adil
boat,Oxford3000,4,kapal
assignment,Oxford3000,10,penugasan
sweet,Oxford3000,5,manis
content,Oxford3000,7,isi
at,Oxford3000,2,pada
transport,Oxford3000,9,mengangkut
bread,Oxford3000,5,roti
behaviour,Oxford3000,9,perilaku
treat,Oxford3000,5,merawat
commonly,Oxford3000,8,umumnya
advance,Oxford3000,7,maju
facility,Oxford3000,8,fasilitas
eighteen,Oxford3000,8,delapan belas
outdoors,Oxford3000,8,di luar rumah
row,Oxford3000,3,baris
flash,Oxford3000,5,kilatan
stomach,Oxford3000,7,perut
interrupt,Oxford3000,9,mengganggu
depend,Oxford3000,6,bergantung
chest,Oxford3000,5,dada
weak,Oxford3000,4,lemah
clock,Oxford3000,5,jam
thin,Oxford3000,4,tipis
gallery,Oxford3000,7,galeri
delay,Oxford3000,5,menunda
lead,Oxford3000,4,memimpin
arrest,Oxford3000,6,menangkap
component,Oxford3000,9,komponen
return,Oxford3000,6,kembali
code,Oxford3000,4,kode
before,Oxford3000,6,sebelum
establish,Oxford3000,9,mendirikan
heart,Oxford3000,5,jantung
select,Oxford3000,6,memilih
expand,Oxford3000,6,memperluas
crash,Oxford3000,5,menabrak
paragraph,Oxford3000,9,ayat
tablet,Oxford3000,6,tablet
heat,Oxford3000,4,panas
heel,Oxford3000,4,tumit
actress,Oxford3000,7,aktris
waiter,Oxford3000,6,pelayan
brand,Oxford3000,5,merek
wow,Oxford3000,3,Wow
operation,Oxford3000,9,operasi
function,Oxford3000,8,fungsi
neat,Oxford3000,4,rapi
warn,Oxford3000,4,memperingatkan
skirt,Oxford3000,5,rok
blue,Oxford3000,4,biru
threaten,Oxford3000,8,mengancam
guess,Oxford3000,5,tebakan
career,Oxford3000,6,karier
scary,Oxford3000,5,menakutkan
aid,Oxford3000,3,bantuan
lamp,Oxford3000,4,lampu
satisfy,Oxford3000,7,memuaskan
sit,Oxford3000,3,duduk
mix,Oxford3000,3,mencampur
exactly,Oxford3000,7,tepat
incident,Oxford3000,8,insiden
rapid,Oxford3000,5,cepat
object,Oxford3000,6,obyek
disaster,Oxford3000,8,bencana
slide,Oxford3000,5,menggeser
hair,Oxford3000,4,rambut
piano,Oxford3000,5,piano
security,Oxford3000,8,keamanan
relax,Oxford3000,5,santai
wherever,Oxford3000,8,di manapun
typically,Oxford3000,9,khas
licence,Oxford3000,7,lisensi
remark,Oxford3000,6,komentar
ski,Oxford3000,3,main ski
truly,Oxford3000,5,sungguh-sungguh
holiday,Oxford3000,7,hari libur
may,Oxford3000,3,mungkin
bean,Oxford3000,4,kacang
concern,Oxford3000,7,kekhawatiran
permit,Oxford3000,6,izin
stone,Oxford3000,5,batu
photograph,Oxford3000,10,foto
fight,Oxford3000,5,bertarung
machine,Oxford3000,7,mesin
growth,Oxford3000,6,pertumbuhan
lively,Oxford3000,6,hidup
disease,Oxford3000,7,penyakit
tear,Oxford3000,4,merobek
float,Oxford3000,5,mengambang
unique,Oxford3000,6,unik
everything,Oxford3000,10,semuanya
fur,Oxford3000,3,bulu
realistic,Oxford3000,9,realistis
explosion,Oxford3000,9,ledakan
contact,Oxford3000,7,kontak
tree,Oxford3000,4,pohon
sexual,Oxford3000,6,seksual
cause,Oxford3000,5,menyebabkan
when,Oxford3000,4,Kapan
angrily,Oxford3000,7,dengan marah
produce,Oxford3000,7,menghasilkan
religious,Oxford3000,9,keagamaan
boy,Oxford3000,3,anak laki-laki
finally,Oxford3000,7,Akhirnya
double,Oxford3000,6,dobel
touch,Oxford3000,5,menyentuh
string,Oxford3000,6,rangkaian
insist,Oxford3000,6,bersikeras
town,Oxford3000,4,kota
owe,Oxford3000,3,utang
holy,Oxford3000,4,suci
invent,Oxford3000,6,menciptakan
newspaper,Oxford3000,9,koran
stock,Oxford3000,5,saham
sister,Oxford3000,6,saudari
laboratory,Oxford3000,10,laboratorium
later,Oxford3000,5,Nanti
version,Oxford3000,7,versi
parking,Oxford3000,7,parkir
no,Oxford3000,2,TIDAK
agreement,Oxford3000,9,perjanjian
robot,Oxford3000,5,robot
however,Oxford3000,7,Namun
loose,Oxford3000,5,longgar
afraid,Oxford3000,6,takut
mad,Oxford3000,3,gila
force,Oxford3000,5,memaksa
job,Oxford3000,3,pekerjaan
stamp,Oxford3000,5,perangko
born,Oxford3000,4,dilahirkan
down,Oxford3000,4,turun
elsewhere,Oxford3000,9,di tempat lain
fortune,Oxford3000,7,harta benda
continue,Oxford3000,8,melanjutkan
joke,Oxford3000,4,candaan
fat,Oxford3000,3,gemuk
physical,Oxford3000,8,fisik
storm,Oxford3000,5,badai
pupil,Oxford3000,5,murid
picture,Oxford3000,7,gambar
conflict,Oxford3000,8,konflik
his,Oxford3000,3,miliknya
top,Oxford3000,3,atas
have to,Oxford3000,7,harus
offer,Oxford3000,5,menawarkan
reflect,Oxford3000,7,mencerminkan
next to,Oxford3000,7,di sebelah
symptom,Oxford3000,7,gejala
answer,Oxford3000,6,menjawab
headline,Oxford3000,8,judul
dislike,Oxford3000,7,benci
effect,Oxford3000,6,memengaruhi
lady,Oxford3000,4,wanita
bother,Oxford3000,6,mengganggu
national,Oxford3000,8,nasional
bath,Oxford3000,4,mandi
homework,Oxford3000,8,pekerjaan rumah
error,Oxford3000,5,kesalahan
ankle,Oxford3000,5,pergelangan kaki
frequency,Oxford3000,9,frekuensi
balance,Oxford3000,7,keseimbangan
proper,Oxford3000,6,sesuai
key,Oxford3000,3,kunci
vary,Oxford3000,4,bervariasi
trust,Oxford3000,5,memercayai
carry,Oxford3000,5,membawa
management,Oxford3000,10,pengelolaan
cheat,Oxford3000,5,mencurangi
relation,Oxford3000,8,hubungan
huge,Oxford3000,4,sangat besar
competitor,Oxford3000,10,saingan
venue,Oxford3000,5,lokasi
strongly,Oxford3000,8,dengan kuat
helpful,Oxford3000,7,bermanfaat
underwear,Oxford3000,9,pakaian dalam
scared,Oxford3000,6,takut
scream,Oxford3000,6,berteriak
appeal,Oxford3000,6,menarik
skiing,Oxford3000,6,bermain ski
refer,Oxford3000,5,merujuk
cycle,Oxford3000,5,siklus
unpleasant,Oxford3000,10,tidak menyenangkan
call,Oxford3000,4,panggilan
effort,Oxford3000,6,upaya
nightmare,Oxford3000,9,mimpi buruk
actor,Oxford3000,5,aktor
predict,Oxford3000,7,meramalkan
mail,Oxford3000,4,surat
tie,Oxford3000,3,mengikat
musician,Oxford3000,8,pemusik
former,Oxford3000,6,mantan
assume,Oxford3000,6,menganggap
expression,Oxford3000,10,ekspresi
attack,Oxford3000,6,menyerang
as,Oxford3000,2,sebagai
soul,Oxford3000,4,jiwa
adult,Oxford3000,5,dewasa
almost,Oxford3000,6,hampir
stadium,Oxford3000,7,stadion
flag,Oxford3000,4,bendera
eleven,Oxford3000,6,sebelas
birthday,Oxford3000,8,hari ulang tahun
classical,Oxford3000,9,klasik
consistent,Oxford3000,10,konsisten
coffee,Oxford3000,6,kopi
cut,Oxford3000,3,memotong
immigrant,Oxford3000,9,imigran
police,Oxford3000,6,POLISI
hour,Oxford3000,4,jam
face,Oxford3000,4,menghadapi
writer,Oxford3000,6,penulis
architect,Oxford3000,9,arsitek
following,Oxford3000,9,mengikuti
setting,Oxford3000,7,pengaturan
shop,Oxford3000,4,toko
involve,Oxford3000,7,melibatkan
quick,Oxford3000,5,cepat
institute,Oxford3000,9,lembaga
apparently,Oxford3000,10,tampaknya
twin,Oxford3000,4,kembar
formal,Oxford3000,6,resmi
drum,Oxford3000,4,drum
musical,Oxford3000,7,musikal
wind,Oxford3000,4,angin
childhood,Oxford3000,9,masa kecil
pleased,Oxford3000,7,senang
wet,Oxford3000,3,basah
wall,Oxford3000,4,dinding
chat,Oxford3000,4,mengobrol
routine,Oxford3000,7,rutin
talk,Oxford3000,4,bicara
entire,Oxford3000,6,seluruh
educate,Oxford3000,7,mendidik
banana,Oxford3000,6,pisang
passage,Oxford3000,7,jalan
monkey,Oxford3000,6,monyet
cost,Oxford3000,4,biaya
marketing,Oxford3000,9,pemasaran
reading,Oxford3000,7,membaca
asleep,Oxford3000,6,tertidur
talented,Oxford3000,8,berbakat
cloud,Oxford3000,5,awan
scan,Oxford3000,4,memindai
field,Oxford3000,5,bidang
indoor,Oxford3000,6,dalam
leader,Oxford3000,6,pemimpin
which,Oxford3000,5,yang
typical,Oxford3000,7,khas
page,Oxford3000,4,halaman
bottle,Oxford3000,6,botol
argue,Oxford3000,5,membantah
november,Oxford3000,8,November
library,Oxford3000,7,perpustakaan
male,Oxford3000,4,pria
channel,Oxford3000,7,saluran
beyond,Oxford3000,6,di luar
better,Oxford3000,6,lebih baik
consideration,Oxford3000,13,pertimbangan
height,Oxford3000,6,tinggi
meat,Oxford3000,4,daging
extremely,Oxford3000,9,sangat
club,Oxford3000,4,klub
man,Oxford3000,3,pria
nobody,Oxford3000,6,bukan siapa-siapa
entry,Oxford3000,5,pintu masuk
domestic,Oxford3000,8,domestik
tend,Oxford3000,4,cenderung
suitable,Oxford3000,8,sesuai
lecture,Oxford3000,7,kuliah
behind,Oxford3000,6,di belakang
score,Oxford3000,5,skor
physics,Oxford3000,7,fisika
application,Oxford3000,11,aplikasi
convert,Oxford3000,7,mengubah
tiny,Oxford3000,4,kecil
scene,Oxford3000,5,pemandangan
usually,Oxford3000,7,biasanya
beginning,Oxford3000,9,awal
taxi,Oxford3000,4,taksi
fold,Oxford3000,4,melipat
employ,Oxford3000,6,mempekerjakan
yes,Oxford3000,3,Ya
artist,Oxford3000,6,artis
contain,Oxford3000,7,berisi
purchase,Oxford3000,8,pembelian
evil,Oxford3000,4,kejahatan
suggestion,Oxford3000,10,saran
block,Oxford3000,5,memblokir
embarrassing,Oxford3000,12,memalukan
cinema,Oxford3000,6,bioskop
check,Oxford3000,5,memeriksa
totally,Oxford3000,7,sama sekali
perform,Oxford3000,7,melakukan
toilet,Oxford3000,6,toilet
cell,Oxford3000,4,sel
upset,Oxford3000,5,gundah
slip,Oxford3000,4,tergelincir
result,Oxford3000,6,hasil
enable,Oxford3000,6,memungkinkan
calm,Oxford3000,4,tenang
rule,Oxford3000,4,aturan
thick,Oxford3000,5,tebal
bus,Oxford3000,3,bis
episode,Oxford3000,7,episode
option,Oxford3000,6,pilihan
discovery,Oxford3000,9,penemuan
oppose,Oxford3000,6,menolak
combine,Oxford3000,7,menggabungkan
massive,Oxford3000,7,besar sekali
back,Oxford3000,4,kembali
decrease,Oxford3000,8,mengurangi
possession,Oxford3000,10,milik
private,Oxford3000,7,pribadi
calculate,Oxford3000,9,menghitung
contemporary,Oxford3000,12,kontemporer
reject,Oxford3000,6,menolak
per,Oxford3000,3,per
somewhat,Oxford3000,8,agak
courage,Oxford3000,7,keberanian
celebrity,Oxford3000,9,selebriti
past,Oxford3000,4,masa lalu
latest,Oxford3000,6,terbaru
currently,Oxford3000,9,saat ini
right,Oxford3000,5,Kanan
stiff,Oxford3000,5,kaku
simple,Oxford3000,6,sederhana
absolute,Oxford3000,8,mutlak
spell,Oxford3000,5,mengeja
grab,Oxford3000,4,merebut
he,Oxford3000,2,Dia
certainly,Oxford3000,9,tentu
culture,Oxford3000,7,budaya
standard,Oxford3000,8,standar
transition,Oxford3000,10,transisi
author,Oxford3000,6,pengarang
biscuit,Oxford3000,7,biskuit
basis,Oxford3000,5,dasar
together,Oxford3000,8,bersama
happen,Oxford3000,6,terjadi
amazed,Oxford3000,6,terkagum-kagum
illustrate,Oxford3000,10,menjelaskan
currency,Oxford3000,8,mata uang
firstly,Oxford3000,7,Pertama
respond,Oxford3000,7,menanggapi
video,Oxford3000,5,video
sudden,Oxford3000,6,tiba-tiba
initiative,Oxford3000,10,prakarsa
in,Oxford3000,2,di dalam
ancient,Oxford3000,7,kuno
spirit,Oxford3000,6,roh
value,Oxford3000,5,nilai
today,Oxford3000,5,Hari ini
tuesday,Oxford3000,7,Selasa
covered,Oxford3000,7,tercakup
elephant,Oxford3000,8,gajah
base,Oxford3000,4,basis
priority,Oxford3000,8,prioritas
local,Oxford3000,5,lokal
could,Oxford3000,5,bisa
council,Oxford3000,7,dewan
politics,Oxford3000,8,politik
incredible,Oxford3000,10,menakjubkan
home,Oxford3000,4,rumah
clear,Oxford3000,5,jernih
fifth,Oxford3000,5,kelima
similarly,Oxford3000,9,demikian pula
potential,Oxford3000,9,potensi
finance,Oxford3000,7,keuangan
profession,Oxford3000,10,profesi
either,Oxford3000,6,salah satu
backwards,Oxford3000,9,ke belakang
access,Oxford3000,6,mengakses
strategy,Oxford3000,8,strategi
change,Oxford3000,6,mengubah
dish,Oxford3000,4,piring
hollow,Oxford3000,6,kosong
tank,Oxford3000,4,tangki
decoration,Oxford3000,10,dekorasi
hell,Oxford3000,4,neraka
upon,Oxford3000,4,pada
lower,Oxford3000,5,lebih rendah
committee,Oxford3000,9,komite
professor,Oxford3000,9,profesor
out,Oxford3000,3,keluar
poster,Oxford3000,6,poster
economy,Oxford3000,7,ekonomi
taste,Oxford3000,5,mencicipi
compete,Oxford3000,7,bersaing
despite,Oxford3000,7,meskipun
continuous,Oxford3000,10,kontinu
fly,Oxford3000,3,terbang
sometimes,Oxford3000,9,Kadang-kadang
grey,Oxford3000,4,abu-abu
intelligent,Oxford3000,11,cerdas
excellent,Oxford3000,9,bagus sekali
essential,Oxford3000,9,penting
explode,Oxford3000,7,meledak
website,Oxford3000,7,situs web
button,Oxford3000,6,tombol
drunk,Oxford3000,5,mabuk
normally,Oxford3000,8,biasanya
reach,Oxford3000,5,mencapai
belief,Oxford3000,6,keyakinan
tropical,Oxford3000,8,tropis
direction,Oxford3000,9,arah
shopping,Oxford3000,8,belanja
thus,Oxford3000,4,dengan demikian
toy,Oxford3000,3,mainan
significant,Oxford3000,11,penting
umbrella,Oxford3000,8,payung
teenage,Oxford3000,7,remaja
device,Oxford3000,6,perangkat
we,Oxford3000,2,Kami
secondary,Oxford3000,9,sekunder
civil,Oxford3000,5,sipil
clause,Oxford3000,6,ayat
that,Oxford3000,4,itu
install,Oxford3000,7,memasang
capital,Oxford3000,7,modal
obligation,Oxford3000,10,kewajiban
possibly,Oxford3000,8,mungkin
meanwhile,Oxford3000,9,Sementara itu
wing,Oxford3000,4,sayap
last,Oxford3000,4,terakhir
nurse,Oxford3000,5,perawat
declare,Oxford3000,7,menyatakan
property,Oxford3000,8,milik
expected,Oxford3000,8,mengharapkan
seven,Oxford3000,5,tujuh
sailor,Oxford3000,6,pelaut
towards,Oxford3000,7,terhadap
confident,Oxford3000,9,percaya diri
noisy,Oxford3000,5,bising
not,Oxford3000,3,bukan
news,Oxford3000,4,berita
water,Oxford3000,5,air
since,Oxford3000,5,sejak
drop,Oxford3000,4,menjatuhkan
ignore,Oxford3000,6,mengabaikan
effectively,Oxford3000,11,secara efektif
waste,Oxford3000,5,limbah
feather,Oxford3000,7,bulu
perhaps,Oxford3000,7,mungkin
simply,Oxford3000,6,hanya
minimum,Oxford3000,7,minimum
strange,Oxford3000,7,aneh
cheese,Oxford3000,6,keju
recall,Oxford3000,6,mengingat
be,Oxford3000,2,menjadi
excited,Oxford3000,7,bersemangat
angry,Oxford3000,5,marah
previous,Oxford3000,8,sebelumnya
arrival,Oxford3000,7,kedatangan
blame,Oxford3000,5,menyalahkan
beg,Oxford3000,3,mengemis
pin,Oxford3000,3,pin
light,Oxford3000,5,lampu
indirect,Oxford3000,8,tidak langsung
download,Oxford3000,8,unduh
distribution,Oxford3000,12,distribusi
telephone,Oxford3000,9,telepon
infection,Oxford3000,9,infeksi
see,Oxford3000,3,melihat
script,Oxford3000,6,naskah
slice,Oxford3000,5,mengiris
struggle,Oxford3000,8,berjuang
group,Oxford3000,5,kelompok
matter,Oxford3000,6,urusan
shower,Oxford3000,6,mandi
classroom,Oxford3000,9,kelas
team,Oxford3000,4,tim
unlikely,Oxford3000,8,tidak mungkin
arms,Oxford3000,4,lengan
partly,Oxford3000,6,sebagian
fear,Oxford3000,4,takut
decline,Oxford3000,7,menolak
minister,Oxford3000,8,menteri
evidence,Oxford3000,8,bukti
beach,Oxford3000,5,pantai
director,Oxford3000,8,direktur
oil,Oxford3000,3,minyak
trousers,Oxford3000,8,celana panjang
among,Oxford3000,5,di antara
bottom,Oxford3000,6,dasar
jazz,Oxford3000,4,jazz
hall,Oxford3000,4,aula
develop,Oxford3000,7,mengembangkan
swear,Oxford3000,5,bersumpah
bell,Oxford3000,4,bel
disappointing,Oxford3000,13,mengecewakan
means,Oxford3000,5,cara
working,Oxford3000,7,bekerja
ninety,Oxford3000,6,sembilan puluh
exciting,Oxford3000,8,seru
nail,Oxford3000,4,paku
assistant,Oxford3000,9,asisten
screen,Oxford3000,6,layar
brother,Oxford3000,7,saudara laki-laki
fish,Oxford3000,4,ikan
game,Oxford3000,4,permainan
pack,Oxford3000,4,mengemas
date,Oxford3000,4,tanggal
clue,Oxford3000,4,petunjuk
reaction,Oxford3000,8,reaksi
whom,Oxford3000,4,yang
sixty,Oxford3000,5,enam puluh
pregnant,Oxford3000,8,hamil
freedom,Oxford3000,7,kebebasan
thursday,Oxford3000,8,Kamis
silver,Oxford3000,6,perak
reason,Oxford3000,6,alasan
enough,Oxford3000,6,cukup
preparation,Oxford3000,11,persiapan
particular,Oxford3000,10,tertentu
sign,Oxford3000,4,tanda
race,Oxford3000,4,balapan
tell,Oxford3000,4,memberi tahu
bedroom,Oxford3000,7,kamar tidur
everyone,Oxford3000,8,setiap orang
yourself,Oxford3000,8,dirimu sendiri
title,Oxford3000,5,judul
writing,Oxford3000,7,menulis
bullet,Oxford3000,6,peluru
jump,Oxford3000,4,melompat
normal,Oxford3000,6,normal
rush,Oxford3000,4,bergegas
dance,Oxford3000,5,menari
quality,Oxford3000,7,kualitas
draft,Oxford3000,5,draf
switch,Oxford3000,6,mengalihkan
suddenly,Oxford3000,8,Tiba-tiba
hobby,Oxford3000,5,hobi
motor,Oxford3000,5,motor
neighbour,Oxford3000,9,tetangga
happy,Oxford3000,5,senang
chocolate,Oxford3000,9,cokelat
creative,Oxford3000,8,kreatif
greet,Oxford3000,5,menyapa
part,Oxford3000,4,bagian
myself,Oxford3000,6,saya sendiri
fourth,Oxford3000,6,keempat
regional,Oxford3000,8,regional
stop,Oxford3000,4,berhenti
confusing,Oxford3000,9,membingungkan
translate,Oxford3000,9,menerjemahkan
friday,Oxford3000,6,Jumat
below,Oxford3000,5,di bawah
replace,Oxford3000,7,mengganti
ocean,Oxford3000,5,laut
business,Oxford3000,8,bisnis
awful,Oxford3000,5,buruk sekali
used,Oxford3000,4,digunakan
train,Oxford3000,5,kereta
hunt,Oxford3000,4,berburu
leadership,Oxford3000,10,kepemimpinan
fridge,Oxford3000,6,kulkas
neck,Oxford3000,4,leher
make,Oxford3000,4,membuat
after,Oxford3000,5,setelah
feeling,Oxford3000,7,merasa
relief,Oxford3000,6,lega
construction,Oxford3000,12,konstruksi
prediction,Oxford3000,10,ramalan
basic,Oxford3000,5,dasar
spicy,Oxford3000,5,pedas
multiply,Oxford3000,8,berkembang biak
edit,Oxford3000,4,sunting
reduction,Oxford3000,9,pengurangan
petrol,Oxford3000,6,bensin
fire,Oxford3000,4,api
ugly,Oxford3000,4,jelek
eight,Oxford3000,5,delapan
reputation,Oxford3000,10,reputasi
depressing,Oxford3000,10,menyedihkan
chapter,Oxford3000,7,bab
agree,Oxford3000,5,setuju
servant,Oxford3000,7,pelayan
summarize,Oxford3000,9,meringkaskan
mistake,Oxford3000,7,kesalahan
knock,Oxford3000,5,ketukan
woman,Oxford3000,5,wanita
substance,Oxford3000,9,zat
victim,Oxford3000,6,korban
exercise,Oxford3000,8,latihan
crew,Oxford3000,4,awak kapal
low,Oxford3000,3,rendah
medical,Oxford3000,7,medis
each,Oxford3000,4,setiap
loss,Oxford3000,4,kehilangan
stretch,Oxford3000,7,menggeliat
zone,Oxford3000,4,daerah
sadly,Oxford3000,5,sayangnya
unemployment,Oxford3000,12,pengangguran
information,Oxford3000,11,informasi
biology,Oxford3000,7,biologi
geography,Oxford3000,9,geografi
land,Oxford3000,4,tanah
senior,Oxford3000,6,senior
emphasis,Oxford3000,8,tekanan
media,Oxford3000,5,media
conservative,Oxford3000,12,konservatif
opening,Oxford3000,7,pembukaan
cottage,Oxford3000,7,pondok
rare,Oxford3000,4,langka
dressed,Oxford3000,7,berpakaian
react,Oxford3000,5,bereaksi
yard,Oxford3000,4,halaman
tired,Oxford3000,5,lelah
chicken,Oxford3000,7,ayam
commitment,Oxford3000,10,komitmen
